State Name,Dist Name,Crop,Historical_Avg_Yield_13_17,Trend_Slope,Expected_2018_Yield
Andhra Pradesh,Srikakulam,GROUNDNUT,1547.1380000000001,98.81700000000001,1843.5890000000072
Andhra Pradesh,Srikakulam,KHARIF SORGHUM,1352.326,-161.96,866.4459999999963
Andhra Pradesh,Srikakulam,LINSEED,0.0,0.0,0.0
Andhra Pradesh,Srikakulam,MAIZE,5083.114,94.1500000000001,5365.564000000013
Andhra Pradesh,Srikakulam,MINOR PULSES,541.5260000000001,-5.556,524.8580000000002
Andhra Pradesh,Srikakulam,OILSEEDS,2109.924,430.8900000000001,3402.594000000041
Andhra Pradesh,Srikakulam,PEARL MILLET,2243.2940000000003,297.966,3137.192000000039
Andhra Pradesh,Srikakulam,PIGEONPEA,698.5240000000001,-87.047,437.38300000000163
Andhra Pradesh,Srikakulam,RABI SORGHUM,2957.142,7.141999999999794,2978.5679999999993
Andhra Pradesh,Srikakulam,RAPESEED AND MUSTARD,0.0,0.0,0.0
Andhra Pradesh,Srikakulam,RICE,2449.974,217.859,3103.5509999999776
Andhra Pradesh,Srikakulam,SAFFLOWER,0.0,0.0,0.0
Andhra Pradesh,Srikakulam,SESAMUM,217.47200000000004,13.268,257.27600000000166
Andhra Pradesh,Srikakulam,SORGHUM,1550.78,-161.30500000000004,1066.865000000049
Andhra Pradesh,Srikakulam,SOYABEAN,0.0,0.0,0.0
Andhra Pradesh,Srikakulam,SUGARCANE,6926.639999999999,240.6959999999998,7648.728000000003
Andhra Pradesh,Srikakulam,SUNFLOWER,975.008,-55.798999999999985,807.6110000000044
Andhra Pradesh,Srikakulam,WHEAT,200.0,200.0,800.0
Andhra Pradesh,Visakhapatnam,BARLEY,0.0,0.0,0.0
Andhra Pradesh,Visakhapatnam,CASTOR,300.0,250.00000000000003,1050.0
Andhra Pradesh,Visakhapatnam,CHICKPEA,1733.6119999999999,-139.82100000000003,1314.149000000034
Andhra Pradesh,Visakhapatnam,COTTON,404.392,-10.071000000000005,374.1790000000001
Andhra Pradesh,Visakhapatnam,FINGER MILLET,957.0459999999999,44.423,1090.3150000000023
Andhra Pradesh,Visakhapatnam,GROUNDNUT,1431.414,10.556000000000019,1463.0820000000022
